TE,NP,NU
0100000000,,АВТОНОМНА РЕСПУБЛІКА КРИМ/М.СІМФЕРОПОЛЬ
0110000000,,МІСТА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ
0110100000,,СІМФЕРОПОЛЬ
0110130000,,РАЙОНИ М.СІМФЕРОПОЛЯ
0110136300,Р,ЗАЛІЗНИЧНИЙ
0110136600,Р,КИЇВСЬКИЙ
0110136900,Р,ЦЕНТРАЛЬНИЙ
0110165000,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ ЗАЛІЗНИЧНІЙ РАЙРАДІ М.СІМФЕРОПОЛЯ"
0110165300,Т,АЕРОФЛОТСЬКИЙ
0110165600,Т,ГРЕСІВСЬКИЙ
0110165601,Щ,БІТУМНЕ
0110165800,Т,КОМСОМОЛЬСЬКЕ
0110166000,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ КИЇВСЬКІЙ РАЙРАДІ М.СІМФЕРОПОЛЯ"
0110166200,Т,АГРАРНЕ
0110300000,М,АЛУШТА
0110345000,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ АЛУШТИНСЬКІЙ МІСЬКРАДІ"
0110345400,Т,ПАРТЕНІТ
0110390000,,"СІЛЬРАДИ, ПІДПОРЯДКОВАНІ АЛУШТИНСЬКІЙ МІСЬКРАДІ"
0110390900,,ІЗОБІЛЬНЕНСЬКА/С.ІЗОБІЛЬНЕ
0110390901,С,ІЗОБІЛЬНЕ
0110390903,С,ВЕРХНЯ КУТУЗОВКА
0110390905,С,НИЖНЯ КУТУЗОВКА
0110390907,Щ,РОЗОВИЙ
0110391400,,ЛУЧИСТІВСЬКА/С.ЛУЧИСТЕ
0110391401,С,ЛУЧИСТЕ
0110391403,Щ,ЛАВАНДА
0110391405,Щ,СЕМИДВІР'Я
0110391800,,МАЛОМАЯЦЬКА/С.МАЛИЙ МАЯК
0110391801,С,МАЛИЙ МАЯК
0110391802,Щ,БОНДАРЕНКОВЕ
0110391803,С,ВИНОГРАДНИЙ
0110391805,С,ЗАПРУДНЕ
0110391807,С,КИПАРИСНЕ
0110391809,С,ЛАВРОВЕ
0110391811,С,ЛАЗУРНЕ
0110391813,С,НИЖНЄ ЗАПРУДНЕ
0110391815,С,ПУШКІНЕ
0110391817,Щ,УТЬОС
0110391818,Щ,ЧАЙКА
0110392100,,МАЛОРІЧЕНСЬКА/С.МАЛОРІЧЕНСЬКЕ
0110392101,С,МАЛОРІЧЕНСЬКЕ
0110392103,С,ГЕНЕРАЛЬСЬКЕ
0110392105,С,РИБАЧЕ
0110392107,С,СОНЯЧНОГІРСЬКЕ
0110393000,,ПРИВІТНЕНСЬКА/С.ПРИВІТНЕ
0110393001,С,ПРИВІТНЕ
0110393002,С,ЗЕЛЕНОГІР'Я
0110600000,М,ДЖАНКОЙ
0110900000,М,ЄВПАТОРІЯ
0110945000,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ ЄВПАТОРІЙСЬКІЙ МІСЬКРАДІ"
0110945300,Т,ЗАОЗЕРНЕ
0110945600,Т,МИРНИЙ
0110945800,Т,НОВООЗЕРНЕ
0111200000,М,КЕРЧ
0111300000,М,КРАСНОПЕРЕКОПСЬК
0111400000,М,САКИ
0111500000,М,АРМЯНСЬК
0111590000,,"СІЛЬРАДИ, ПІДПОРЯДКОВАНІ АРМЯНСЬКІЙ МІСЬКРАДІ"
0111590100,,СУВОРОВСЬКА/С.СУВОРОВЕ
0111590101,С,СУВОРОВЕ
0111590102,С,ВОЛОШИНЕ
0111590103,С,ПЕРЕКОП
0111600000,М,ФЕОДОСІЯ
0111645000,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ ФЕОДОСІЙСЬКІЙ МІСЬКРАДІ"
0111645200,Т,КУРОРТНЕ
0111645400,Т,ОРДЖОНІКІДЗЕ
0111645700,Т,КОКТЕБЕЛЬ
0111645701,С,НАНІКОВЕ
0111646000,Т,ПРИМОРСЬКИЙ
0111646500,Т,ЩЕБЕТОВКА
0111646501,С,КРАСНОКАМ'ЯНКА
0111690000,,"СІЛЬРАДИ, ПІДПОРЯДКОВАНІ ФЕОДОСІЙСЬКІЙ МІСЬКРАДІ"
0111690300,,БЕРЕГОВА/С.БЕРЕГОВЕ
0111690301,С,БЕРЕГОВЕ
0111690303,С,СТЕПОВЕ
0111692900,,НАСИПНІВСЬКА/С.НАСИПНЕ
0111692901,С,НАСИПНЕ
0111692903,С,БЛИЖНЄ
0111692905,С,ВИНОГРАДНЕ
0111692907,С,ПІДГІРНЕ
0111692909,С,ПІОНЕРСЬКЕ
0111692911,С,СОНЯЧНЕ
0111692913,С,ЮЖНЕ
0111700000,М,СУДАК
0111745000,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ СУДАЦЬКІЙ МІСЬКРАДІ"
0111745200,Т,НОВИЙ СВІТ
0111790000,,"СІЛЬРАДИ, ПІДПОРЯДКОВАНІ СУДАЦЬКІЙ МІСЬКРАДІ"
0111790200,,ВЕСЕЛІВСЬКА/С.ВЕСЕЛЕ
0111790201,С,ВЕСЕЛЕ
0111790400,,ГРУШІВСЬКА/С.ГРУШІВКА
0111790401,С,ГРУШІВКА
0111790402,С,ПЕРЕВАЛІВКА
0111790403,С,ХОЛОДІВКА
0111790700,,ДАЧНІВСЬКА/С.ДАЧНЕ
0111790701,С,ДАЧНЕ
0111790702,С,ЛІСНЕ
0111791400,,МІЖРІЧЕНСЬКА/С.МІЖРІЧЧЯ
0111791401,С,МІЖРІЧЧЯ
0111791402,С,ВОРОН
0111791600,,МОРСЬКА/С.МОРСЬКЕ
0111791601,С,МОРСЬКЕ
0111791602,С,ГРОМІВКА
0111792300,,СОНЯЧНОДОЛИНСЬКА/С.СОНЯЧНА ДОЛИНА
0111792301,С,СОНЯЧНА ДОЛИНА
0111792302,С,БАГАТІВКА
0111792303,С,МИНДАЛЬНЕ
0111792304,С,ПРИБЕРЕЖНЕ
0111900000,М,ЯЛТА
0111945000,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ ЯЛТИНСЬКІЙ МІСЬКРАДІ"
0111945200,Т,БЕРЕГОВЕ
0111945400,Т,НІКІТА
0111945600,Т,ВИНОГРАДНЕ
0111945900,Т,ВОСХОД
0111946200,Т,ГАСПРА
0111946500,Т,ГОЛУБА ЗАТОКА
0111946800,Т,ГУРЗУФ
0111946801,Щ,ДАНИЛІВКА
0111946803,Щ,ЛІНІЙНЕ
0111946805,Щ,ПАРТИЗАНСЬКЕ
0111947000,Т,КАЦІВЕЛІ
0111947100,Т,КОРЕЇЗ
0111947400,Т,КРАСНОКАМ'ЯНКА
0111947700,Т,КУРПАТИ
0111947900,Т,ЛІВАДІЯ
0111947901,Щ,ВИСОКОГІРНЕ
0111947903,Щ,ГІРНЕ
0111947905,Щ,КУЙБИШЕВЕ
0111947907,Щ,ОХОТНИЧЕ
0111948100,Т,МАСАНДРА
0111948300,Т,ОРЕАНДА
0111948500,Т,ВІДРАДНЕ
0111948700,Т,ПАРКОВЕ
0111948900,Т,ПОНИЗІВКА
0111949100,Т,САНАТОРНЕ
0111949300,Т,СІМЕЇЗ
0111949301,С,ОПОЛЗНЕВЕ
0111949500,Т,СОВЄТСЬКЕ
0111949700,Т,ФОРОС
0111949701,Щ,ОЛИВА
0111970000,,"МІСТА, ПІДПОРЯДКОВАНІ ЯЛТИНСЬКІЙ МІСЬКРАДІ"
0111970200,М,АЛУПКА
0120000000,,РАЙОНИ АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ
