"TE","NP","NU","NR"
"0100000000",,"АВТОНОМНА РЕСПУБЛІКА КРИМ/М.СІМФЕРОПОЛЬ","АВТОНОМНАЯ РЕСПУБЛИКА КРЫМ/Г.СИМФЕРОПОЛЬ"
"0110000000",,"МІСТА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ","ГОРОДА АВТОНОМНОЙ РЕСПУБЛИКИ КРЫМ"
"0110100000",,"СІМФЕРОПОЛЬ","СИМФЕРОПОЛЬ"
"0110130000",,"РАЙОНИ М.СІМФЕРОПОЛЯ","РАЙОНЫ Г.СИМФЕРОПОЛЯ"
"0110136300","Р","ЗАЛІЗНИЧНИЙ","ЖЕЛЕЗНОДОРОЖНЫЙ"
"0110136600","Р","КИЇВСЬКИЙ","КИЕВСКИЙ"
"0110136900","Р","ЦЕНТРАЛЬНИЙ","ЦЕНТРАЛЬНЫЙ"
"0110165000",,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ ЗАЛІЗНИЧНІЙ РАЙРАДІ М.СІМФЕРОПОЛЯ","ПОСЕЛКИ ГОРОДСКОГО ТИПА, ПОДЧИНЕННЫЕ ЖЕЛЕЗНОДОРОЖНОМУ РАЙСОВЕТУ Г.СИМФЕРОПОЛЯ"
"0110165300","Т","АЕРОФЛОТСЬКИЙ","АЭРОФЛОТСКИЙ"
"0110165600","Т","ГРЕСІВСЬКИЙ","ГРЭСОВСКИЙ"
"0110165601","Щ","БІТУМНЕ","БИТУМНОЕ"
"0110165800","Т","КОМСОМОЛЬСЬКЕ","КОМСОМОЛЬСКОЕ"
"0110166000",,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ КИЇВСЬКІЙ РАЙРАДІ М.СІМФЕРОПОЛЯ","ПОСЕЛКИ ГОРОДСКОГО ТИПА, ПОДЧИНЕННЫЕ КИЕВСКОМУ РАЙСОВЕТУ Г.СИМФЕРОПОЛЯ"
"0110166200","Т","АГРАРНЕ","АГРАРНОЕ"
"0110300000","М","АЛУШТА","АЛУШТА"
"0110345000",,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ АЛУШТИНСЬКІЙ МІСЬКРАДІ","ПОСЕЛКИ ГОРОДСКОГО ТИПА, ПОДЧИНЕННЫЕ АЛУШТИНСКОМУ ГОРСОВЕТУ"
"0110345400","Т","ПАРТЕНІТ","ПАРТЕНИТ"
"0110390000",,"СІЛЬРАДИ, ПІДПОРЯДКОВАНІ АЛУШТИНСЬКІЙ МІСЬКРАДІ","СЕЛЬСОВЕТЫ, ПОДЧИНЕННЫЕ АЛУШТИНСКОМУ ГОРСОВЕТУ"
"0110390900",,"ІЗОБІЛЬНЕНСЬКА/С.ІЗОБІЛЬНЕ","ИЗОБИЛЬНЕНСКИЙ/С.ИЗОБИЛЬНОЕ"
"0110390901","С","ІЗОБІЛЬНЕ","ИЗОБИЛЬНОЕ"
"0110390903","С","ВЕРХНЯ КУТУЗОВКА","ВЕРХНЯЯ КУТУЗОВКА"
"0110390905","С","НИЖНЯ КУТУЗОВКА","НИЖНЯЯ КУТУЗОВКА"
"0110390907","Щ","РОЗОВИЙ","РОЗОВЫЙ"
"0110391400",,"ЛУЧИСТІВСЬКА/С.ЛУЧИСТЕ","ЛУЧИСТОВСКИЙ/С.ЛУЧИСТОЕ"
"0110391401","С","ЛУЧИСТЕ","ЛУЧИСТОЕ"
"0110391403","Щ","ЛАВАНДА","ЛАВАНДА"
"0110391405","Щ","СЕМИДВІР'Я","СЕМИДВОРЬЕ"
"0110391800",,"МАЛОМАЯЦЬКА/С.МАЛИЙ МАЯК","МАЛОМАЯКСКИЙ/С.МАЛЫЙ МАЯК"
"0110391801","С","МАЛИЙ МАЯК","МАЛЫЙ МАЯК"
"0110391802","Щ","БОНДАРЕНКОВЕ","БОНДАРЕНКОВО"
"0110391803","С","ВИНОГРАДНИЙ","ВИНОГРАДНЫЙ"
"0110391805","С","ЗАПРУДНЕ","ЗАПРУДНОЕ"
"0110391807","С","КИПАРИСНЕ","КИПАРИСНОЕ"
"0110391809","С","ЛАВРОВЕ","ЛАВРОВОЕ"
"0110391811","С","ЛАЗУРНЕ","ЛАЗУРНОЕ"
"0110391813","С","НИЖНЄ ЗАПРУДНЕ","НИЖНЕЕ ЗАПРУДНОЕ"
"0110391815","С","ПУШКІНЕ","ПУШКИНО"
"0110391817","Щ","УТЬОС","УТЕС"
"0110391818","Щ","ЧАЙКА","ЧАЙКА"
"0110392100",,"МАЛОРІЧЕНСЬКА/С.МАЛОРІЧЕНСЬКЕ","МАЛОРЕЧЕНСКИЙ/С.МАЛОРЕЧЕНСКОЕ"
"0110392101","С","МАЛОРІЧЕНСЬКЕ","МАЛОРЕЧЕНСКОЕ"
"0110392103","С","ГЕНЕРАЛЬСЬКЕ","ГЕНЕРАЛЬСКОЕ"
"0110392105","С","РИБАЧЕ","РЫБАЧЬЕ"
"0110392107","С","СОНЯЧНОГІРСЬКЕ","СОЛНЕЧНОГОРСКОЕ"
"0110393000",,"ПРИВІТНЕНСЬКА/С.ПРИВІТНЕ","ПРИВЕТНЕНСКИЙ/С.ПРИВЕТНОЕ"
"0110393001","С","ПРИВІТНЕ","ПРИВЕТНОЕ"
"0110393002","С","ЗЕЛЕНОГІР'Я","ЗЕЛЕНОГОРЬЕ"
"0110600000","М","ДЖАНКОЙ","ДЖАНКОЙ"
"0110900000","М","ЄВПАТОРІЯ","ЕВПАТОРИЯ"
"0110945000",,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ ЄВПАТОРІЙСЬКІЙ МІСЬКРАДІ","ПОСЕЛКИ ГОРОДСКОГО ТИПА, ПОДЧИНЕННЫЕ ЕВПАТОРИЙСКОМУ ГОРСОВЕТУ"
"0110945300","Т","ЗАОЗЕРНЕ","ЗАОЗЕРНОЕ"
"0110945600","Т","МИРНИЙ","МИРНЫЙ"
"0110945800","Т","НОВООЗЕРНЕ","НОВООЗЕРНОЕ"
"0111200000","М","КЕРЧ","КЕРЧЬ"
"0111300000","М","КРАСНОПЕРЕКОПСЬК","КРАСНОПЕРЕКОПСК"
"0111400000","М","САКИ","САКИ"
